Gender,Class,Area Type,Results
Female,3,Rural,49
Male,1,Urban,63
Female,3,Urban,77
Male,4,Urban,49
Male,5,Rural,78
Female,5,Urban,43
Female,1,Rural,55
Female,4,Urban,50
Female,2,Urban,56
Female,3,Urban,48
Female,3,Rural,62
Male,3,Urban,34
Female,5,Rural,66
Male,2,Urban,66
Male,1,Urban,54
Female,4,Rural,65
Female,3,Urban,41
Male,3,Rural,43
Female,4,Urban,78
Male,3,Urban,43
Male,4,Rural,35
Female,1,Rural,45
Male,2,Urban,36
Male,5,Urban,61
Female,2,Rural,48
Male,3,Rural,32
Male,1,Rural,42
Male,5,Urban,60
Male,4,Urban,32
Female,5,Rural,73
Female,3,Rural,86
Female,4,Urban,38
Male,1,Rural,45
Male,3,Urban,62
Female,4,Urban,65
Male,4,Urban,81
Male,4,Urban,58
Male,2,Urban,64
Male,4,Urban,88
Male,3,Urban,70
Male,1,Urban,80
